platform,text,link_count,emoji_count,hashtag_count,follower_ratio,duplicate_score,forward_count,urgent_words,rating,account_age_days,label
Instagram,Amazing photography,0,6,13,4.02,0,4,5,0,53,0
Website Review,Fake review buy now,3,3,5,0,0.53,48,0,4,426,1
SMS,"Win ₹50,000 now click here",3,4,5,0,0,1,7,0,0,1
Instagram,Amazing photography,0,7,8,3.2,0,33,5,0,149,0
WhatsApp,Forward this message and win prize,4,2,9,0,0,69,3,0,0,1
SMS,"Win ₹50,000 now click here",3,3,6,0,0,14,7,0,0,1
Email,Meeting scheduled tomorrow,0,2,4,0,0,23,4,0,0,0
WhatsApp,Family meeting at 6 PM,0,4,5,0,0,11,4,0,0,0
Website Review,Best product ever highly recommended,0,3,3,0,0.91,21,5,3,252,0
SMS,"Win ₹50,000 now click here",1,4,8,0,0,40,8,0,0,1
Website Review,Best product ever highly recommended,0,1,9,0,0.71,9,0,1,433,0
SMS,OTP for login is 445566,0,5,3,0,0,7,5,0,0,0
WhatsApp,Family meeting at 6 PM,0,2,4,0,0,50,3,0,0,0
SMS,OTP for login is 445566,1,0,0,0,0,15,2,0,0,0
Email,Your account suspended click link,2,4,6,0,0,36,8,0,0,1
Email,Meeting scheduled tomorrow,1,4,1,0,0,27,4,0,0,0
Instagram,Free followers now,2,7,22,4.01,0,9,1,0,664,1
Website Review,Best product ever highly recommended,1,1,10,0,0.99,38,0,5,1725,0
WhatsApp,Forward this message and win prize,4,3,0,0,0,25,4,0,0,1
Instagram,Free followers now,2,8,22,2.84,0,33,5,0,1539,1
Email,Meeting scheduled tomorrow,0,4,0,0,0,34,3,0,0,0
YouTube,Earn money fast click here,4,8,3,0,0,27,1,0,88,1
Instagram,Free followers now,3,7,27,2.31,0,22,4,0,1273,1
Website Review,Best product ever highly recommended,0,3,1,0,0.93,22,5,5,1810,0
YouTube,Very informative tutorial,1,4,4,0,0,5,0,0,126,0
SMS,"Win ₹50,000 now click here",1,1,10,0,0,43,6,0,0,1
Email,Meeting scheduled tomorrow,0,1,0,0,0,42,0,0,0,0
YouTube,Earn money fast click here,1,10,7,0,0,22,1,0,1422,1
Instagram,Amazing photography,0,7,11,3.87,0,42,1,0,1208,0
Instagram,Amazing photography,1,7,12,3.86,0,5,4,0,476,0
SMS,OTP for login is 445566,0,3,6,0,0,17,0,0,0,0
YouTube,Very informative tutorial,0,2,7,0,0,20,4,0,880,0
SMS,"Win ₹50,000 now click here",2,1,10,0,0,3,5,0,0,1
Instagram,Amazing photography,2,2,8,0.97,0,0,4,0,883,0
SMS,OTP for login is 445566,2,1,9,0,0,38,4,0,0,0
YouTube,Earn money fast click here,1,10,0,0,0,18,0,0,376,1
Instagram,Amazing photography,0,6,11,2.93,0,25,0,0,1716,0
SMS,OTP for login is 445566,0,4,8,0,0,16,2,0,0,0
SMS,OTP for login is 445566,0,5,1,0,0,42,3,0,0,0
Instagram,Amazing photography,1,4,6,4.65,0,11,1,0,1465,0
Email,Your account suspended click link,5,0,1,0,0,37,7,0,0,1
WhatsApp,Forward this message and win prize,2,6,9,0,0,60,5,0,0,1
Email,Meeting scheduled tomorrow,2,3,2,0,0,18,0,0,0,0
Instagram,Free followers now,0,6,30,3.34,0,31,3,0,717,1
YouTube,Earn money fast click here,2,10,2,0,0,46,5,0,1880,1
SMS,OTP for login is 445566,2,0,5,0,0,5,0,0,0,0
YouTube,Earn money fast click here,3,6,5,0,0,31,4,0,1570,1
Website Review,Fake review buy now,3,2,5,0,0.47,1,3,1,1496,1
WhatsApp,Family meeting at 6 PM,1,2,8,0,0,46,2,0,0,0
WhatsApp,Forward this message and win prize,4,6,10,0,0,71,4,0,0,1
Website Review,Best product ever highly recommended,1,4,10,0,0.93,2,3,1,1928,0
YouTube,Very informative tutorial,2,6,6,0,0,14,4,0,135,0
Website Review,Fake review buy now,1,4,8,0,0.35,2,2,4,706,1
YouTube,Earn money fast click here,1,8,4,0,0,12,3,0,1220,1
Instagram,Amazing photography,0,4,15,1.57,0,9,0,0,1532,0
Email,Your account suspended click link,4,0,2,0,0,34,8,0,0,1
SMS,OTP for login is 445566,2,2,10,0,0,27,5,0,0,0
Instagram,Free followers now,2,4,25,3.91,0,11,1,0,761,1
Instagram,Amazing photography,2,3,6,4.18,0,22,0,0,925,0
Website Review,Fake review buy now,3,6,6,0,0.56,14,1,1,1618,1
Email,Meeting scheduled tomorrow,0,2,3,0,0,31,5,0,0,0
WhatsApp,Forward this message and win prize,3,2,7,0,0,37,5,0,0,1
Website Review,Best product ever highly recommended,0,5,8,0,0.8,4,4,1,1886,0
Email,Your account suspended click link,5,0,2,0,0,48,9,0,0,1
WhatsApp,Family meeting at 6 PM,2,5,7,0,0,12,5,0,0,0
SMS,OTP for login is 445566,0,5,2,0,0,34,1,0,0,0
YouTube,Earn money fast click here,4,5,7,0,0,6,1,0,414,1
YouTube,Earn money fast click here,3,7,10,0,0,3,3,0,1836,1
Instagram,Free followers now,0,9,21,0.27,0,33,4,0,1210,1
Website Review,Best product ever highly recommended,2,1,0,0,0.17,37,3,5,926,0
SMS,"Win ₹50,000 now click here",1,2,8,0,0,36,7,0,0,1
Email,Your account suspended click link,5,5,4,0,0,33,5,0,0,1
Email,Your account suspended click link,2,0,1,0,0,42,5,0,0,1
Website Review,Best product ever highly recommended,0,5,3,0,0.57,27,1,4,1368,0
Website Review,Best product ever highly recommended,0,3,4,0,0.74,29,0,5,1268,0
SMS,OTP for login is 445566,2,5,7,0,0,16,4,0,0,0
YouTube,Earn money fast click here,3,7,4,0,0,29,0,0,227,1
SMS,OTP for login is 445566,1,0,6,0,0,23,4,0,0,0
SMS,OTP for login is 445566,0,0,7,0,0,49,5,0,0,0
Website Review,Best product ever highly recommended,2,1,2,0,0.93,49,3,4,1110,0
Email,Your account suspended click link,5,5,8,0,0,20,5,0,0,1
YouTube,Very informative tutorial,2,1,3,0,0,22,0,0,614,0
Website Review,Best product ever highly recommended,0,3,6,0,0.48,25,3,2,1466,0
Instagram,Free followers now,1,4,21,0.49,0,30,2,0,379,1
WhatsApp,Forward this message and win prize,1,1,7,0,0,28,4,0,0,1
WhatsApp,Forward this message and win prize,1,6,2,0,0,42,7,0,0,1
Email,Meeting scheduled tomorrow,2,4,10,0,0,13,5,0,0,0
Website Review,Fake review buy now,3,7,10,0,0.24,44,5,1,1517,1
SMS,OTP for login is 445566,2,0,0,0,0,41,5,0,0,0
Website Review,Best product ever highly recommended,2,6,3,0,0.27,48,2,3,168,0
YouTube,Earn money fast click here,2,10,8,0,0,14,4,0,1873,1
SMS,OTP for login is 445566,2,1,5,0,0,25,3,0,0,0
Email,Meeting scheduled tomorrow,2,0,10,0,0,27,5,0,0,0
SMS,OTP for login is 445566,1,5,7,0,0,25,3,0,0,0
WhatsApp,Family meeting at 6 PM,2,3,7,0,0,20,0,0,0,0
Instagram,Amazing photography,0,2,5,3.29,0,34,0,0,1228,0
YouTube,Very informative tutorial,2,6,1,0,0,43,0,0,984,0
Email,Your account suspended click link,4,2,0,0,0,12,10,0,0,1
SMS,"Win ₹50,000 now click here",1,2,5,0,0,47,5,0,0,1
Email,Meeting scheduled tomorrow,1,5,10,0,0,49,3,0,0,0
WhatsApp,Forward this message and win prize,2,1,1,0,0,50,5,0,0,1
Email,Your account suspended click link,2,5,5,0,0,24,8,0,0,1
WhatsApp,Family meeting at 6 PM,1,5,0,0,0,38,2,0,0,0
Instagram,Amazing photography,0,5,7,3.52,0,29,1,0,674,0
YouTube,Earn money fast click here,1,7,7,0,0,49,3,0,646,1
Instagram,Free followers now,2,4,23,4.87,0,3,2,0,210,1
Email,Meeting scheduled tomorrow,0,0,5,0,0,43,0,0,0,0
SMS,OTP for login is 445566,0,0,1,0,0,9,5,0,0,0
Instagram,Free followers now,1,6,20,4.29,0,13,5,0,832,1
WhatsApp,Family meeting at 6 PM,2,5,9,0,0,46,5,0,0,0
Instagram,Free followers now,2,5,29,3.9,0,47,4,0,885,1
SMS,OTP for login is 445566,0,5,10,0,0,34,3,0,0,0
WhatsApp,Family meeting at 6 PM,0,2,3,0,0,40,3,0,0,0
YouTube,Earn money fast click here,1,7,10,0,0,14,5,0,417,1
SMS,"Win ₹50,000 now click here",0,4,9,0,0,12,7,0,0,1
YouTube,Very informative tutorial,0,6,3,0,0,49,2,0,840,0
WhatsApp,Family meeting at 6 PM,1,2,7,0,0,12,4,0,0,0
WhatsApp,Family meeting at 6 PM,0,4,7,0,0,21,4,0,0,0
Email,Your account suspended click link,4,3,7,0,0,50,10,0,0,1
Email,Your account suspended click link,3,2,5,0,0,19,7,0,0,1
Email,Your account suspended click link,3,4,6,0,0,31,9,0,0,1
Website Review,Fake review buy now,0,5,1,0,0.57,14,0,3,1211,1
Email,Your account suspended click link,4,4,6,0,0,50,8,0,0,1
Email,Meeting scheduled tomorrow,0,1,9,0,0,27,0,0,0,0
WhatsApp,Forward this message and win prize,4,5,9,0,0,60,5,0,0,1
Instagram,Free followers now,0,6,20,1.17,0,39,0,0,835,1
YouTube,Very informative tutorial,0,5,7,0,0,6,2,0,1914,0
Instagram,Amazing photography,1,2,12,4.01,0,26,1,0,517,0
WhatsApp,Forward this message and win prize,4,6,0,0,0,32,5,0,0,1
YouTube,Earn money fast click here,2,9,4,0,0,48,4,0,559,1
YouTube,Very informative tutorial,0,5,1,0,0,1,3,0,1045,0
Instagram,Amazing photography,0,5,12,4.68,0,2,5,0,304,0
Instagram,Free followers now,0,6,27,3.35,0,48,4,0,948,1
SMS,OTP for login is 445566,2,0,10,0,0,15,4,0,0,0
SMS,OTP for login is 445566,0,5,4,0,0,24,0,0,0,0
Instagram,Amazing photography,1,5,6,0.28,0,6,3,0,1498,0
YouTube,Very informative tutorial,0,6,5,0,0,25,0,0,1352,0
SMS,OTP for login is 445566,0,3,6,0,0,5,3,0,0,0
Email,Meeting scheduled tomorrow,1,4,10,0,0,20,0,0,0,0
Email,Your account suspended click link,4,2,1,0,0,15,9,0,0,1
Instagram,Free followers now,1,4,22,2.32,0,11,3,0,781,1
WhatsApp,Family meeting at 6 PM,2,3,9,0,0,44,3,0,0,0
Email,Your account suspended click link,4,3,1,0,0,5,8,0,0,1
WhatsApp,Forward this message and win prize,3,5,1,0,0,33,4,0,0,1
Instagram,Amazing photography,1,4,13,3.32,0,22,3,0,1583,0
Email,Meeting scheduled tomorrow,2,0,8,0,0,42,4,0,0,0
YouTube,Very informative tutorial,0,3,1,0,0,47,5,0,506,0
Instagram,Free followers now,3,8,27,0.92,0,47,5,0,112,1
Email,Your account suspended click link,2,1,1,0,0,2,6,0,0,1
Email,Meeting scheduled tomorrow,0,3,9,0,0,6,3,0,0,0
SMS,OTP for login is 445566,0,5,10,0,0,12,5,0,0,0
YouTube,Very informative tutorial,1,2,8,0,0,34,0,0,229,0
Website Review,Fake review buy now,1,5,5,0,0.91,34,0,2,1955,1
SMS,OTP for login is 445566,1,0,6,0,0,33,3,0,0,0
SMS,"Win ₹50,000 now click here",3,4,9,0,0,12,8,0,0,1
